Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDG61,17.281082056286692,reg,0.19173187919307522,Snack Foods,206.66067820040226,OUT012,2004,Small,Tier 2,Supermarket Type1,2862.9687381131744
FDO81,11.664070910462064,Regular,0.0,Household,77.86005941552537,OUT036,1999,Small,Tier 2,Supermarket Type1,1631.6562310209035
FDU92,18.15487818906277,Low Fat,0.05126931786989966,Dairy,118.36350497241541,OUT016,2004,Medium,Tier 2,Supermarket Type3,827.3764915215663
FDW84,18.605568017918326,Regular,0.06389347979677049,Meat,155.12282701351523,OUT042,2004,Medium,Tier 2,Grocery Store,1009.5521393339324
FDK97,8.391904875178529,Low Fat,0.023266938604932678,Soft Drinks,170.98674827464833,OUT018,1985,Small,Tier 3,Supermarket Type2,2169.485611925852
FDU33,15.517655714722057,low fat,0.1200991350220376,Dairy,137.68229608661642,OUT039,1985,Medium,Tier 1,Supermarket Type3,3917.280578432253
FDC31,12.556508866607707,low fat,0.0,Snack Foods,216.3291260527506,OUT027,1997,Medium,Tier 3,Supermarket Type3,3442.5794161691606
FDU11,19.082507806743763,reg,0.0,Baking Goods,206.54938447539328,OUT035,1987,Small,Tier 3,Supermarket Type1,2710.852185147194
FDX39,8.451850866823266,Regular,0.03897315100218755,Dairy,146.18632128447837,OUT029,2004,Medium,Tier 2,Supermarket Type1,1920.734457435519
FDF11,15.845011204960707,Low Fat,0.12642073680595792,Household,226.518758959798,OUT047,1997,Small,Tier 1,Supermarket Type1,2886.8606267140217
FDU42,14.724033956043561,Regular,0.1016829383057747,Meat,202.75059200174877,OUT040,2004,Medium,Tier 3,Supermarket Type1,2629.9123772598864
FDL67,9.724823641149325,Low Fat,0.08316095612079435,Baking Goods,209.07382520574797,OUT017,2009,Small,Tier 1,Supermarket Type1,3946.1850190529476
FDV98,7.185614458418762,Regular,0.009486983245648544,Household,249.97217926968582,OUT032,1985,nan,Tier 1,Supermarket Type1,3579.825759194484
FDQ68,15.426236167636425,Regular,0.124737578657522,Snack Foods,91.28739647811662,OUT034,1997,Small,Tier 1,Supermarket Type1,2433.824267295397
FDJ69,,Low Fat,0.009848476385620883,Dairy,91.55907734437531,OUT010,2002,nan,Tier 1,Grocery Store,570.348057540791
FDP24,10.0500375002136,Low Fat,0.06526759159979817,Soft Drinks,234.45901880884722,OUT027,2009,Medium,Tier 3,Grocery Store,754.3679850345237
FDO71,15.31732166435702,low fat,0.09904369684996074,Fruits and Vegetables,207.61206587870626,OUT028,1999,Medium,Tier 1,Supermarket Type1,2943.0644044032542
FDS64,,low fat,0.023251274460157647,Household,243.1054745301943,OUT015,1997,Medium,Tier 3,Grocery Store,1036.0451460039608
FDT73,16.411310132521884,Low Fat,0.031119407772095396,Baking Goods,44.51993687462421,OUT026,2007,Medium,Tier 1,Grocery Store,58.342143761992794
FDY12,8.18744439830485,Low Fat,0.1047325114952458,Dairy,174.38412777016723,OUT017,1999,Small,Tier 1,Supermarket Type1,3225.6594139484405
FDE60,19.24344004217879,Low Fat,0.22774531463812073,Fruits and Vegetables,63.26451776839291,OUT018,2002,nan,Tier 3,Supermarket Type2,1379.9513120795611
FDG30,9.598553543449276,low fat,0.23023559285209103,Fruits and Vegetables,145.896355607294,OUT046,1987,nan,Tier 2,Supermarket Type1,3266.9862352120854
FDI48,,Low Fat,0.06298014081183316,Dairy,65.82179432629218,OUT036,1998,nan,Tier 3,Supermarket Type1,758.0883619670217
FDR13,5.9294712332855966,Regular,0.08251589672510881,Meat,59.45805706652223,OUT045,1985,High,Tier 1,Supermarket Type1,1111.0229772049681
FDY69,6.784195397140422,Low Fat,0.03265277831952404,Dairy,32.798719437867625,OUT015,1998,Medium,Tier 3,Supermarket Type1,315.80342574317496
FDN18,13.25379044339725,Regular,0.032036479248125305,Baking Goods,174.954926848068,OUT015,1985,Medium,Tier 1,Supermarket Type1,2425.1825652447933
FDZ62,9.281482827647544,Low Fat,0.09183865827875864,Snack Foods,112.57520183871979,OUT013,1998,High,Tier 3,Supermarket Type1,2094.2173499099267
FDB93,18.36768361187511,Regular,0.18038570336477847,Soft Drinks,54.193305522163485,OUT031,1987,nan,Tier 3,Supermarket Type3,2870.2722253003626
FDO69,5.2350942184792615,Low Fat,0.09998667321803212,Baking Goods,104.25268887820127,OUT049,2002,Medium,Tier 3,Supermarket Type2,2056.1194047097965
FDG53,,Regular,0.04020147469506037,Snack Foods,68.85714103386454,OUT036,2002,nan,Tier 2,Supermarket Type2,1471.6736116239772
FDH56,10.397528748305483,Low Fat,0.03666018708597299,Fruits and Vegetables,246.58981124538167,OUT046,2007,Medium,Tier 3,Grocery Store,1100.8264346860942
FDC87,5.309242094681617,Regular,0.06291646351724413,Soft Drinks,103.60112372511007,OUT011,2009,Medium,Tier 3,Supermarket Type2,1977.8475994370415
FDQ45,,low fat,0.04349050470979141,Household,106.80931035655968,OUT018,2007,nan,Tier 2,Supermarket Type1,2191.0859290908065
FDR13,,Low Fat,0.02392811696167552,Fruits and Vegetables,223.1673407819047,OUT020,1985,nan,Tier 2,Supermarket Type3,4377.207702298196
FDB15,12.885833351159146,low fat,0.04047268486374835,Frozen Foods,178.98382509578096,OUT029,1997,High,Tier 1,Grocery Store,811.6616371634212
FDV13,11.468635956077906,Regular,0.06830644214133011,Meat,193.3394697026903,OUT048,2002,Medium,Tier 1,Supermarket Type1,2738.0148769123175
FDV72,13.495002854593501,Low Fat,0.02258605948665209,Dairy,176.28041491746092,OUT023,1985,Small,Tier 3,Supermarket Type1,2327.9574506993436
FDR53,14.522106798490904,Low Fat,0.0,Household,247.62514530817003,OUT035,2007,Small,Tier 1,Supermarket Type2,4205.975365249801
FDB83,5.15878113804537,Low Fat,0.07958609971894982,Frozen Foods,77.6101912583504,OUT047,2002,High,Tier 3,Supermarket Type1,1046.4275318355178
FDD23,12.425522551256062,Regular,0.0632621124357756,Baking Goods,257.479025603833,OUT039,1985,Medium,Tier 2,Supermarket Type1,4099.244482796142
FDP24,20.41598785420141,Regular,0.09633043249340259,Soft Drinks,221.11992083799802,OUT045,1987,Medium,Tier 2,Supermarket Type1,3558.036350857603
FDH87,13.30451648207278,Low Fat,0.1801309054636116,Household,165.4636954415587,OUT047,2002,Medium,Tier 3,Grocery Store,704.1348478542316
FDW71,15.840676279343251,Regular,0.03436970504942274,Frozen Foods,182.34547361113727,OUT044,2007,Medium,Tier 1,Supermarket Type1,2007.4845018191195
FDH94,,low fat,0.12047010260085998,Frozen Foods,179.22995159514124,OUT015,1999,Medium,Tier 1,Supermarket Type1,2513.1195804884815
FDP91,17.3838620504442,LF,0.025049528066263014,Frozen Foods,43.431131533605395,OUT012,1985,nan,Tier 1,Supermarket Type1,915.6041685018772
FDO62,17.366743710017843,Regular,0.045868631875156385,Meat,80.14379466234588,OUT010,1987,Small,Tier 3,Grocery Store,406.0141416026661
FDX35,13.340736762466223,reg,0.09482862634132681,Dairy,251.1383034406923,OUT027,1998,nan,Tier 1,Supermarket Type3,4187.40581834355
FDY69,,Regular,0.061686237812454324,Household,152.90381863765725,OUT032,1998,Medium,Tier 2,Supermarket Type1,2699.235525477864
FDM50,7.008803436202454,Low Fat,0.03052422533868472,Baking Goods,117.02132875023976,OUT041,2004,High,Tier 2,Supermarket Type1,1478.5663923192042
FDO54,,low fat,0.11563436343827645,Soft Drinks,205.26884657948725,OUT038,1987,nan,Tier 2,Supermarket Type1,3365.3727283926555
FDA98,17.322531388113536,Low Fat,0.20730827545984026,Household,150.6393568108362,OUT032,2004,Medium,Tier 2,Grocery Store,800.1136865536865
FDG18,17.914488597838123,Low Fat,0.0804584157513793,Dairy,33.027437429336445,OUT045,2004,Small,Tier 2,Supermarket Type2,730.5544131766
FDX10,6.92331566592922,Low Fat,0.03411865933033254,Baking Goods,199.3346472444771,OUT015,2004,Small,Tier 2,Supermarket Type2,3931.1089839704296
FDL17,,low fat,0.01521497262092394,Household,198.4100388121581,OUT026,1997,Small,Tier 2,Supermarket Type1,3475.8383195568554
FDX72,5.2808378138660625,low fat,0.3766277821972463,Soft Drinks,67.98420378529411,OUT027,2002,High,Tier 2,Supermarket Type1,793.0268986204289
FDK90,9.692937772489035,Low Fat,0.0,Dairy,250.03182033756906,OUT040,2002,Small,Tier 2,Supermarket Type1,3574.7339033759595
FDH44,17.370269982698744,Low Fat,0.012504766879245684,Meat,81.49887025445629,OUT015,1998,Small,Tier 3,Supermarket Type3,1777.2670168931527
FDC42,13.287368443401263,Low Fat,0.06998376976517895,Meat,135.28235449790583,OUT043,1985,High,Tier 3,Supermarket Type2,1853.4913192383576
FDE50,10.56952949069261,Regular,0.04839200010077353,Fruits and Vegetables,56.389271090010375,OUT036,2009,Medium,Tier 2,Supermarket Type2,1030.6017385788991
FDG82,,Low Fat,0.06865019253312256,Household,168.75493347363533,OUT045,1987,Medium,Tier 2,Grocery Store,589.3199957356857
FDH21,5.0216580114474905,Regular,0.03705954322103489,Soft Drinks,116.35375761315888,OUT034,2009,Medium,Tier 2,Grocery Store,730.9254266628901
FDB42,9.796808441043774,Low Fat,0.11568340494724914,Household,111.22989630823226,OUT019,2007,High,Tier 1,Supermarket Type1,1689.1845127276006
FDP32,,Low Fat,0.2161110848531402,Dairy,220.20468176081786,OUT048,1985,Small,Tier 3,Supermarket Type1,3979.6493788644375
FDX46,20.587111101061716,Low Fat,0.1700895255712562,Fruits and Vegetables,32.19919395561,OUT048,2004,Medium,Tier 2,Supermarket Type3,163.2049085622911
FDC53,18.552973231742392,Low Fat,0.12717874643066243,Soft Drinks,213.52775730525718,OUT021,1997,nan,Tier 3,Supermarket Type3,3919.365287820904
FDH95,5.377519434328466,LF,0.12257890842697414,Household,161.4331701220581,OUT020,2009,Medium,Tier 2,Supermarket Type1,2961.1740318662423
FDC74,19.37696967479743,Low Fat,0.06130499373965398,Soft Drinks,256.8026581004458,OUT012,1999,nan,Tier 1,Grocery Store,1058.5121450511006
FDC56,17.531174612778017,Low Fat,0.049045422220137504,Dairy,165.57194073897728,OUT031,1997,nan,Tier 2,Supermarket Type1,1985.1613047696226
FDN12,17.48601797713569,Low Fat,0.12143437279811214,Fruits and Vegetables,42.73720085403032,OUT013,2007,nan,Tier 3,Supermarket Type1,1223.0933259738017
FDA14,12.327932144057144,Low Fat,0.04100391137899795,Soft Drinks,41.64842508205705,OUT017,1997,High,Tier 3,Supermarket Type1,218.6701310694222
FDZ23,11.368084687272045,Low Fat,0.07855937881871056,Dairy,233.12518686552136,OUT023,2004,High,Tier 3,Grocery Store,1046.249068112594
FDG36,,Low Fat,0.09386458603749949,Meat,223.4792534675422,OUT029,2004,nan,Tier 3,Supermarket Type2,3081.446845057447
FDI88,6.051117743269852,Regular,0.14181141428782562,Soft Drinks,109.55471738386534,OUT033,2004,High,Tier 2,Supermarket Type2,2022.1709449826835
FDO51,8.651765815899186,Regular,0.10424069355324002,Fruits and Vegetables,172.14747136166156,OUT023,1985,Medium,Tier 1,Supermarket Type1,2695.5248660544776
FDM60,8.945658159648394,Low Fat,0.08706235457274863,Snack Foods,142.60601212278806,OUT037,1999,Small,Tier 1,Supermarket Type1,2594.7275345059556
FDG61,12.745233115363225,Low Fat,0.056505992986081575,Baking Goods,252.447732681292,OUT025,1985,Medium,Tier 2,Supermarket Type3,4780.895206802152
FDD32,,reg,0.2762399109628685,Baking Goods,248.49100720168505,OUT041,2004,Small,Tier 2,Supermarket Type1,3847.902393018703
FDG24,12.580957254367146,Low Fat,0.033590899923106564,Soft Drinks,256.28297196437813,OUT021,2007,Medium,Tier 3,Supermarket Type2,3890.0176164633735
FDK38,5.92551119115457,Low Fat,0.05215503392612221,Soft Drinks,229.28321954588077,OUT025,2004,Medium,Tier 2,Grocery Store,919.4315332603347
FDD22,20.32463681581126,Low Fat,0.04833578055578991,Dairy,239.1968658782733,OUT028,1985,nan,Tier 1,Supermarket Type2,3070.0982760984775
FDG68,20.083589105505794,Low Fat,0.19972871283988555,Household,79.97411911644137,OUT014,1997,nan,Tier 2,Supermarket Type3,1734.0367551672102
FDS95,17.563032690374534,Regular,0.1212112610483777,Baking Goods,221.13156146764814,OUT021,1997,nan,Tier 2,Supermarket Type1,3171.4854185084814
FDB51,20.86124642502753,Low Fat,0.15888424454231678,Frozen Foods,193.03713603698318,OUT038,2004,nan,Tier 1,Supermarket Type2,3485.5045762941945
FDM71,13.711717324804207,Regular,0.07451121334239491,Household,251.44089703045614,OUT014,1998,nan,Tier 1,Supermarket Type1,4184.504445106177
FDY15,20.404293604051297,Low Fat,0.11598289858423645,Baking Goods,161.39022054180248,OUT026,1997,nan,Tier 2,Supermarket Type1,2077.757954081927
FDL53,6.209680649868012,Low Fat,0.03144367133501908,Soft Drinks,49.588448343427956,OUT017,2002,Small,Tier 3,Supermarket Type1,615.3510192261756
FDT39,10.850891972181941,Regular,0.17235553096062842,Frozen Foods,167.40174497304517,OUT049,2002,Medium,Tier 3,Supermarket Type1,2784.5236413534967
FDK98,8.606100288108253,Low Fat,0.04684704504738672,Fruits and Vegetables,187.91361344489619,OUT049,1999,Medium,Tier 3,Supermarket Type3,4720.774805684318
FDG71,,Regular,0.04780577170193087,Fruits and Vegetables,80.67383660385852,OUT039,2002,Small,Tier 1,Supermarket Type2,1804.4161435607252
